company_code,company_name,issue_name,report_year,avg_verifiability_score,record_count
601169,北京银行,普惠金融,2023,4.0,1
601169,北京银行,普惠金融,2024,3.0,1
601169,北京银行,普惠金融,2025,4.0,1
601169,北京银行,消费者权益保护,2021,2.0,1
601169,北京银行,消费者权益保护,2022,3.0,1
601169,北京银行,消费者权益保护,2023,4.0,1
601169,北京银行,消费者权益保护,2024,3.0,1
601169,北京银行,消费者权益保护,2025,4.0,1
601169,北京银行,绿色信贷/绿色金融,2021,1.5,2
601169,北京银行,绿色信贷/绿色金融,2022,3.0,1
601169,北京银行,绿色信贷/绿色金融,2023,4.0,1
601169,北京银行,绿色信贷/绿色金融,2024,3.0,1
601169,北京银行,绿色信贷/绿色金融,2025,4.0,1
601187,厦门银行,公司治理/风险管理,2021,3.0,3
601187,厦门银行,公司治理/风险管理,2022,3.0,3
601187,厦门银行,公司治理/风险管理,2023,4.0,3
601187,厦门银行,公司治理/风险管理,2024,4.0,3
601187,厦门银行,公司治理/风险管理,2025,4.0,3
601187,厦门银行,员工权益,2021,3.0,1
601187,厦门银行,员工权益,2022,3.0,1
601187,厦门银行,员工权益,2023,4.0,1
601187,厦门银行,员工权益,2024,4.0,1
601187,厦门银行,员工权益,2025,4.0,1
601187,厦门银行,普惠金融,2021,3.0,1
601187,厦门银行,普惠金融,2022,3.0,1
601187,厦门银行,普惠金融,2023,4.0,1
601187,厦门银行,普惠金融,2024,4.0,1
601187,厦门银行,普惠金融,2025,4.0,1
601187,厦门银行,消费者权益保护,2021,3.0,1
601187,厦门银行,消费者权益保护,2022,3.0,1
601187,厦门银行,消费者权益保护,2023,4.0,1
601187,厦门银行,消费者权益保护,2024,4.0,1
601187,厦门银行,消费者权益保护,2025,4.0,1
601187,厦门银行,绿色信贷/绿色金融,2021,3.0,1
601187,厦门银行,绿色信贷/绿色金融,2022,3.0,1
601187,厦门银行,绿色信贷/绿色金融,2023,4.0,1
601187,厦门银行,绿色信贷/绿色金融,2024,4.0,1
601187,厦门银行,绿色信贷/绿色金融,2025,4.0,1
601229,上海银行,公司治理/风险管理,2021,3.0,3
601229,上海银行,公司治理/风险管理,2022,4.0,3
601229,上海银行,公司治理/风险管理,2023,4.0,3
601229,上海银行,公司治理/风险管理,2024,4.0,3
601229,上海银行,公司治理/风险管理,2025,4.0,3
601229,上海银行,员工权益,2021,3.0,1
601229,上海银行,员工权益,2022,4.0,1
601229,上海银行,员工权益,2023,4.0,1
601229,上海银行,员工权益,2024,4.0,1
601229,上海银行,员工权益,2025,4.0,1
601229,上海银行,普惠金融,2021,3.0,1
601229,上海银行,普惠金融,2022,4.0,1
601229,上海银行,普惠金融,2023,4.0,1
601229,上海银行,普惠金融,2024,4.0,1
601229,上海银行,普惠金融,2025,4.0,1
601229,上海银行,消费者权益保护,2021,3.0,1
601229,上海银行,消费者权益保护,2022,4.0,1
601229,上海银行,消费者权益保护,2023,4.0,1
601229,上海银行,消费者权益保护,2024,4.0,1
601229,上海银行,消费者权益保护,2025,4.0,1
601229,上海银行,绿色信贷/绿色金融,2021,3.0,1
601229,上海银行,绿色信贷/绿色金融,2022,4.0,1
601229,上海银行,绿色信贷/绿色金融,2023,4.0,1
601229,上海银行,绿色信贷/绿色金融,2024,4.0,1
601229,上海银行,绿色信贷/绿色金融,2025,4.0,1
601288,农业银行,公司治理/风险管理,2021,3.0,3
601288,农业银行,公司治理/风险管理,2022,4.0,3
601288,农业银行,公司治理/风险管理,2023,3.0,3
601288,农业银行,公司治理/风险管理,2024,4.0,3
601288,农业银行,公司治理/风险管理,2025,4.0,3
601288,农业银行,员工权益,2021,3.0,1
601288,农业银行,员工权益,2022,4.0,1
601288,农业银行,员工权益,2023,3.0,1
601288,农业银行,员工权益,2024,4.0,1
601288,农业银行,员工权益,2025,4.0,1
601288,农业银行,普惠金融,2021,3.0,1
601288,农业银行,普惠金融,2022,4.0,1
601288,农业银行,普惠金融,2023,3.0,1
601288,农业银行,普惠金融,2024,4.0,1
601288,农业银行,普惠金融,2025,4.0,1
601288,农业银行,消费者权益保护,2021,3.0,1
601288,农业银行,消费者权益保护,2022,4.0,1
601288,农业银行,消费者权益保护,2023,3.0,1
601288,农业银行,消费者权益保护,2024,4.0,1
601288,农业银行,消费者权益保护,2025,4.0,1
601288,农业银行,绿色信贷/绿色金融,2021,3.0,1
601288,农业银行,绿色信贷/绿色金融,2022,4.0,1
601288,农业银行,绿色信贷/绿色金融,2023,3.0,1
601288,农业银行,绿色信贷/绿色金融,2024,4.0,1
601288,农业银行,绿色信贷/绿色金融,2025,4.0,1
601328,交通银行,公司治理/风险管理,2021,4.0,3
601328,交通银行,公司治理/风险管理,2022,4.0,3
601328,交通银行,公司治理/风险管理,2023,4.0,3
601328,交通银行,公司治理/风险管理,2024,4.0,3
601328,交通银行,公司治理/风险管理,2025,3.0,3
601328,交通银行,员工权益,2021,4.0,1
601328,交通银行,员工权益,2022,4.0,1
601328,交通银行,员工权益,2023,4.0,1
601328,交通银行,员工权益,2024,4.0,1
601328,交通银行,员工权益,2025,3.0,1
601328,交通银行,普惠金融,2021,4.0,1
601328,交通银行,普惠金融,2022,4.0,1
601328,交通银行,普惠金融,2023,4.0,1
601328,交通银行,普惠金融,2024,4.0,1
601328,交通银行,普惠金融,2025,3.0,1
601328,交通银行,消费者权益保护,2021,4.0,1
601328,交通银行,消费者权益保护,2022,4.0,1
601328,交通银行,消费者权益保护,2023,4.0,1
601328,交通银行,消费者权益保护,2024,4.0,1
601328,交通银行,消费者权益保护,2025,3.0,1
601328,交通银行,绿色信贷/绿色金融,2021,4.0,1
601328,交通银行,绿色信贷/绿色金融,2022,4.0,1
601328,交通银行,绿色信贷/绿色金融,2023,4.0,1
601328,交通银行,绿色信贷/绿色金融,2024,4.0,1
601328,交通银行,绿色信贷/绿色金融,2025,3.0,1
601398,工商银行,公司治理/风险管理,2021,4.0,3
601398,工商银行,公司治理/风险管理,2022,3.0,3
601398,工商银行,公司治理/风险管理,2023,4.0,3
601398,工商银行,公司治理/风险管理,2024,3.0,3
601398,工商银行,公司治理/风险管理,2025,4.0,3
601398,工商银行,员工权益,2021,4.0,1
601398,工商银行,员工权益,2022,3.0,1
601398,工商银行,员工权益,2023,4.0,1
601398,工商银行,员工权益,2024,3.0,1
601398,工商银行,员工权益,2025,4.0,1
601398,工商银行,普惠金融,2021,4.0,1
601398,工商银行,普惠金融,2022,3.0,1
